,score
0,0.1799217731
1,0.1740547588
2,0.1753585398
3,0.1707953064
4,0.1564537158
5,0.1747066493
6,0.1642764016
7,0.1525423729
8,0.1694915254
9,0.166232073
10,0.1714471969
11,0.1727509778
