,score
0,0.2470664928
1,0.2490221643
2,0.2366362451
3,0.2705345502
4,0.2627118644
5,0.2522816167
6,0.2516297262
7,0.2614080834
8,0.2398956975
9,0.2496740548
10,0.2509778357
11,0.278357236
