,score
0,0.1805736636
1,0.1655801825
2,0.1714471969
3,0.1629726206
4,0.1714471969
5,0.1388526728
6,0.167535854
7,0.1597131682
8,0.1760104302
9,0.1668839635
10,0.183833116
11,0.1916558018
