,score
0,0.6666666667
1,0.6821705426
2,0.6279069767
3,0.6279069767
4,0.6201550388
5,0.6434108527
6,0.5891472868
7,0.6666666667
8,0.6356589147
9,0.6744186047
10,0.7131782946
11,0.6356589147
