,score
0,0.3044328553
1,0.3031290743
2,0.3096479791
3,0.3005215124
4,0.2992177314
5,0.2979139505
6,0.2926988266
7,0.2992177314
8,0.2861799218
9,0.277053455
10,0.2887874837
11,0.2868318123
