,score
0,0.2798165138
1,0.2787971458
2,0.2793068298
3,0.2787971458
4,0.2793068298
5,0.2798165138
6,0.2787971458
7,0.2803261978
8,0.2838939857
9,0.2833843017
10,0.2675840979
11,0.2660550459
