,score
0,0.2120285423
1,0.2278287462
2,0.2313965341
3,0.2161060143
4,0.2257900102
5,0.2400611621
6,0.2313965341
7,0.2288481142
8,0.2145769623
9,0.2181447503
10,0.2329255861
11,0.2405708461
