,score
0,0.865137614678899
1,0.8568807339449541
2,0.8495412844036697
3,0.8706422018348624
4,0.8614678899082568
5,0.8743119266055046
6,0.8752293577981651
7,0.8596330275229358
8,0.8541284403669724
9,0.8715596330275229
10,0.8688073394495412
11,0.8642201834862385
