senlen,treedepth
0.2624872579,0.2222222222
0.2568807339,0.2370030581
0.2650356779,0.2370030581
0.2675840979,0.2329255861
0.2665647299,0.2120285423
0.252803262,0.2278287462
0.2701325178,0.2313965341
0.2670744139,0.2161060143
0.2680937819,0.2257900102
0.2686034659,0.2400611621
0.2645259939,0.2313965341
0.2614678899,0.2288481142
0.255351682,0.2145769623
0.2635066259,0.2181447503
0.255351682,0.2329255861
0.2660550459,0.2405708461
0.254332314,0.2145769623
0.2599388379,0.2268093782
0.2594291539,0.2354740061
0.2594291539,0.2298674822
0.2579001019,0.2176350663
0.2691131498,0.2329255861
0.2726809378,0.2334352701
0.2706422018,0.2313965341
0.253312946,0.2232415902
0.2680937819,0.2115188583
0.2803261978,0.2206931702
0.2874617737,0.2293577982
0.2619775739,0.2069317023
0.2696228338,0.2273190622
0.2731906218,0.2334352701
0.2680937819,0.2324159021
0.2584097859,0.2186544343
0.2660550459,0.2201834862
0.2696228338,0.2313965341
0.2665647299,0.2161060143
0.2568807339,0.2191641182
0.2640163099,0.2104994903
0.2640163099,0.2222222222
0.2635066259,0.2181447503
0.2349643221,0.2115188583
0.249235474,0.2196738022
0.25127421,0.2252803262
0.254332314,0.2364933741
0.255861366,0.2324159021
0.2665647299,0.2293577982
0.252803262,0.2227319062
0.244648318,0.2125382263
0.2686034659,0.2150866463
0.2680937819,0.2130479103
0.255351682,0.2232415902
0.2579001019,0.2247706422
0.2308868502,0.2069317023
0.255861366,0.2278287462
0.2711518858,0.2247706422
0.255861366,0.2201834862
0.2563710499,0.2212028542
0.2604485219,0.2196738022
0.255351682,0.2217125382
0.250254842,0.2038735984
0.249745158,0.245667686
0.244138634,0.2232415902
0.255351682,0.2120285423
0.2691131498,0.2212028542
0.2584097859,0.2176350663
0.2604485219,0.2166156983
0.2691131498,0.2319062181
0.251783894,0.2206931702
0.2675840979,0.2431192661
0.254841998,0.2232415902
0.2584097859,0.2339449541
0.2624872579,0.2288481142
0.2568807339,0.2268093782
0.2701325178,0.2395514781
0.2706422018,0.2380224261
0.2629969419,0.2339449541
0.2568807339,0.2155963303
0.247196738,0.2242609582
0.2594291539,0.2370030581
0.247196738,0.2313965341
0.2640163099,0.2166156983
0.2716615698,0.2191641182
0.255861366,0.2201834862
0.252803262,0.2273190622
0.2670744139,0.1997961264
0.2645259939,0.2262996942
0.2726809378,0.2206931702
0.2747196738,0.2380224261
