,score
0,0.7733333333
1,0.7333333333
2,0.7066666667
3,0.7333333333
4,0.7733333333
5,0.7733333333
6,0.7866666667
7,0.8
8,0.7866666667
9,0.7866666667
10,0.84
11,0.8133333333
