,score
0,0.6689419795221843
1,0.5972696245733788
2,0.5767918088737202
3,0.5733788395904437
4,0.5597269624573379
5,0.5802047781569966
6,0.5597269624573379
7,0.5733788395904437
8,0.5563139931740614
9,0.5767918088737202
10,0.5699658703071673
11,0.5733788395904437
