,score
0,0.8133333333
1,0.8133333333
2,0.7866666667
3,0.7866666667
4,0.8
5,0.84
6,0.8
7,0.8666666667
8,0.8266666667
9,0.8266666667
10,0.8133333333
11,0.8133333333
