,score
0,0.5552099533
1,0.5598755832
2,0.5520995334
3,0.5536547434
4,0.5505443235
5,0.5707620529
6,0.567651633
7,0.5816485226
8,0.5567651633
9,0.5567651633
10,0.5707620529
11,0.5909797823
