,score
0,0.7931034483
1,0.7672413793
2,0.8017241379
3,0.8017241379
4,0.8275862069
5,0.8189655172
6,0.8189655172
7,0.8362068966
8,0.8706896552
9,0.8362068966
10,0.8017241379
11,0.7672413793
