,score
0,0.566096423
1,0.5505443235
2,0.5645412131
3,0.6034214619
4,0.5832037325
5,0.567651633
6,0.5800933126
7,0.6049766719
8,0.598755832
9,0.5816485226
10,0.5909797823
11,0.600311042
