,score
0,0.7589424572
1,0.734059098
2,0.7247278383
3,0.7449455677
4,0.7636080871
5,0.7418351477
6,0.7496111975
7,0.7465007776
8,0.7402799378
9,0.7402799378
10,0.7402799378
11,0.7169517885
