,score
0,0.8600311042
1,0.8211508554
2,0.8304821151
3,0.8195956454
4,0.8055987558
5,0.8180404355
6,0.8164852255
7,0.8304821151
8,0.8164852255
9,0.8289269051
10,0.8149300156
11,0.8164852255
