,score
0,0.2485714286
1,0.2371428571
2,0.2657142857
3,0.2771428571
4,0.2314285714
5,0.2371428571
6,0.2514285714
7,0.2628571429
8,0.2257142857
9,0.1971428571
10,0.2485714286
11,0.2457142857
