,score
0,0.7368421053
1,0.7105263158
2,0.6315789474
3,0.6315789474
4,0.5789473684
5,0.6052631579
6,0.6052631579
7,0.6315789474
8,0.6842105263
9,0.6842105263
10,0.6578947368
11,0.6315789474
