,score
0,0.7108433735
1,0.6907630522
2,0.6887550201
3,0.6967871486
4,0.6787148594
5,0.6586345382
6,0.6847389558
7,0.6787148594
8,0.6807228916
9,0.6646586345
10,0.6626506024
11,0.6485943775
