,score
0,0.8269986894
1,0.8138925295
2,0.8152031455
3,0.8007863696
4,0.8125819135
5,0.8073394495
6,0.8243774574
7,0.8256880734
8,0.8269986894
9,0.8296199214
10,0.8217562254
11,0.8296199214
